,c_ul,c_ur,c_lr,c_ll
p_12_27,"(67, 36)","(317, 35)","(324, 217)","(84, 220)"
p_12_28,"(74, 40)","(314, 37)","(306, 228)","(66, 220)"
p_12_29,"(71, 36)","(311, 44)","(307, 220)","(71, 220)"
p_13_0,"(30, 28)","(272, 28)","(273, 213)","(31, 209)"
p_13_1,"(88, 78)","(330, 82)","(323, 268)","(81, 261)"
p_13_2,"(57, 93)","(299, 100)","(306, 275)","(69, 277)"
p_13_3,"(31, 90)","(268, 88)","(274, 269)","(25, 267)"
p_13_4,"(31, 74)","(280, 76)","(276, 260)","(33, 264)"
p_13_5,"(37, 38)","(280, 34)","(272, 213)","(34, 221)"
p_13_6,"(29, 95)","(267, 87)","(270, 275)","(36, 273)"
p_13_7,"(84, 81)","(318, 83)","(322, 259)","(79, 260)"
p_13_8,"(67, 29)","(310, 28)","(310, 226)","(71, 211)"
p_13_9,"(68, 83)","(307, 98)","(298, 268)","(64, 270)"
p_13_10,"(67, 83)","(301, 81)","(302, 269)","(69, 268)"
p_13_11,"(36, 69)","(269, 70)","(276, 251)","(35, 247)"
p_13_12,"(66, 83)","(307, 87)","(302, 271)","(58, 261)"
p_13_13,"(35, 27)","(279, 37)","(287, 209)","(43, 211)"
p_13_14,"(74, 78)","(318, 76)","(316, 260)","(81, 267)"
p_13_15,"(36, 35)","(271, 28)","(272, 216)","(28, 212)"
p_13_16,"(75, 44)","(319, 48)","(323, 226)","(71, 229)"
p_13_17,"(79, 36)","(331, 33)","(325, 219)","(80, 223)"
p_13_18,"(82, 78)","(327, 74)","(328, 262)","(85, 264)"
p_13_19,"(69, 75)","(312, 73)","(311, 248)","(72, 262)"
p_13_20,"(32, 38)","(271, 24)","(270, 202)","(28, 208)"
p_13_21,"(62, 42)","(304, 36)","(306, 226)","(61, 223)"
p_13_22,"(62, 44)","(307, 47)","(308, 229)","(66, 232)"
p_13_23,"(26, 81)","(268, 78)","(267, 260)","(30, 256)"
p_13_24,"(72, 31)","(309, 35)","(306, 217)","(68, 221)"
p_13_25,"(68, 48)","(306, 44)","(308, 225)","(62, 222)"
p_13_26,"(74, 95)","(320, 98)","(315, 278)","(77, 280)"
p_13_27,"(32, 34)","(270, 32)","(273, 220)","(39, 216)"
p_13_28,"(40, 67)","(274, 71)","(274, 252)","(32, 258)"
p_13_29,"(32, 64)","(274, 58)","(284, 240)","(28, 240)"
p_14_0,"(26, 24)","(271, 24)","(271, 207)","(27, 209)"
p_14_1,"(33, 27)","(277, 25)","(277, 210)","(26, 213)"
p_14_2,"(25, 75)","(276, 72)","(276, 245)","(32, 250)"
p_14_3,"(71, 87)","(315, 82)","(315, 272)","(77, 268)"
p_14_4,"(75, 34)","(313, 38)","(313, 222)","(71, 218)"
p_14_5,"(83, 29)","(325, 33)","(325, 204)","(75, 208)"
p_14_6,"(25, 30)","(275, 26)","(275, 220)","(28, 218)"
p_14_7,"(73, 29)","(320, 31)","(320, 218)","(77, 205)"
p_14_8,"(78, 29)","(321, 42)","(321, 213)","(78, 227)"
p_14_9,"(81, 90)","(324, 76)","(324, 264)","(72, 260)"
p_14_10,"(65, 28)","(317, 32)","(317, 213)","(66, 216)"
p_14_11,"(59, 46)","(310, 43)","(310, 224)","(66, 227)"
p_14_12,"(68, 83)","(312, 80)","(312, 258)","(63, 267)"
p_14_13,"(73, 107)","(322, 98)","(322, 284)","(81, 279)"
p_14_14,"(76, 28)","(317, 33)","(317, 218)","(74, 212)"
p_14_15,"(28, 63)","(271, 69)","(271, 252)","(29, 251)"
p_14_16,"(24, 24)","(266, 25)","(266, 204)","(28, 202)"
p_14_17,"(83, 33)","(321, 35)","(321, 220)","(77, 219)"
p_14_18,"(24, 78)","(268, 79)","(268, 263)","(25, 266)"
p_14_19,"(66, 84)","(309, 81)","(309, 259)","(65, 259)"
p_14_20,"(68, 77)","(312, 77)","(312, 265)","(67, 255)"
p_14_21,"(24, 85)","(269, 95)","(269, 267)","(26, 275)"
p_14_22,"(34, 81)","(277, 73)","(277, 268)","(35, 263)"
p_14_23,"(66, 38)","(308, 43)","(308, 224)","(65, 220)"
p_14_24,"(72, 71)","(315, 75)","(315, 253)","(69, 253)"
p_14_25,"(29, 93)","(275, 93)","(275, 275)","(31, 274)"
p_14_26,"(29, 36)","(273, 37)","(273, 224)","(24, 216)"
p_14_27,"(67, 84)","(316, 92)","(316, 268)","(70, 272)"
p_14_28,"(34, 29)","(280, 25)","(280, 210)","(34, 210)"
p_14_29,"(24, 69)","(270, 69)","(270, 251)","(34, 251)"
